color,fullmove,legal_moves,count
White,96,4,852
Black,193,25,3
Black,76,16,3094
White,49,45,180
Black,120,45,1
White,188,6,15
White,38,23,8019
Black,100,37,19
Black,76,15,2891
White,161,26,24
Black,105,5,733
Black,118,46,1
White,9,10,19
White,32,34,6667
Black,77,8,1185
Black,17,46,3804
Black,56,16,6598
Black,41,39,1213
White,168,11,26
Black,172,23,16
Black,40,62,1
Black,77,32,299
Black,65,38,155
Black,107,2,265
Black,185,5,19
Black,71,51,1
White,9,24,811
Black,90,16,1696
Black,81,38,51
Black,41,23,7141
White,29,23,6487
Black,49,1,1350
White,11,56,467
Black,106,47,1
White,41,46,368
Black,112,39,3
Black,47,45,134
Black,38,42,956
Black,52,13,5617
White,162,17,46
Black,89,45,5
Black,199,30,1
White,139,41,2
White,20,19,816
Black,175,26,17
Black,116,1,100
White,35,64,1
Black,104,21,480
Black,40,29,5036
Black,102,15,1000
Black,22,62,10
Black,38,54,26
Black,114,11,408
White,21,67,1
Black,167,4,32
White,42,58,5
White,40,15,5380
Black,52,36,629
White,50,57,4
Black,91,25,573
Black,70,5,3363
White,144,34,3
White,46,33,2701
White,97,4,864
White,195,16,6
White,133,3,107
White,115,1,73
White,146,30,26
Black,56,1,1046
Black,30,36,5762
Black,20,47,2773
White,38,19,7236
White,106,48,1
White,42,60,3
Black,51,11,3733
White,27,7,819
Black,158,21,26
White,139,24,86
Black,10,33,13602
White,166,16,42
Black,179,13,21
White,175,8,10
Black,33,11,1719
White,106,37,16
Black,198,6,8
White,72,7,1611
Black,76,25,1232
Black,31,21,6961
Black,10,38,12679
Black,46,1,1456
Black,80,25,976
White,98,29,363
White,70,50,8
Black,98,32,104
White,49,3,3894
White,107,9,306
Black,79,29,703
White,126,31,51
Black,152,22,49
Black,58,22,4424
Black,82,16,2264
Black,169,25,12
Black,109,4,540
White,9,27,2304
White,168,35,1
White,57,41,229
Black,74,10,1568
White,26,42,5756
Black,78,51,1
White,70,43,45
White,80,19,3099
White,165,2,10
Black,78,35,134
White,27,9,312
Black,74,2,1278
Black,35,46,577
Black,20,65,2
White,22,39,9832
White,15,64,15
White,184,13,22
White,108,29,208
Black,35,43,1172
Black,173,2,16
Black,19,52,728
White,164,22,33
White,165,27,19
Black,155,31,5
Black,63,43,40
Black,67,4,3799
White,54,40,373
Black,128,33,20
Black,143,1,33
White,151,46,1
Black,42,56,4
White,9,51,2319
White,80,37,113
White,34,2,2795
Black,49,33,1487
Black,121,12,351
White,124,22,268
Black,145,20,63
White,32,9,659
Black,45,21,7022
Black,140,5,122
Black,150,19,98
Black,129,44,1
Black,119,45,1
Black,177,35,1
Black,103,42,3
White,170,2,4
Black,101,35,29
White,85,39,48
White,113,6,532
Black,155,8,35
White,46,50,56
White,39,54,45
Black,137,31,16
White,42,34,3123
Black,78,18,2374
White,29,42,4217
White,33,11,1084
White,92,31,253
Black,58,42,91
White,111,8,233
Black,118,18,325
White,191,25,5
White,138,1,40
White,80,9,925
Black,14,32,11162
White,20,8,218
White,97,6,1000
Black,13,13,58
Black,109,12,644
White,86,49,1
White,169,12,29
White,14,16,102
White,9,50,3155
White,9,56,459
White,34,61,5
Black,41,7,2962
White,23,3,2114
Black,98,2,449
White,134,43,1
White,170,8,13
Black,36,61,2
White,99,28,406
White,58,10,2156
Black,113,8,213
White,74,39,113
White,149,15,86
Black,59,19,6321
White,34,45,1390
White,20,49,2927
White,103,30,197
White,48,37,1186
White,172,3,18
White,153,29,20
Black,83,28,648
Black,27,61,7
White,54,2,2120
Black,20,22,3173
White,126,21,164
White,196,28,4
White,195,34,1
White,42,70,1
Black,25,14,1130
White,59,39,333
Black,22,16,1131
White,160,11,38
White,192,19,15
Black,79,8,1146
Black,15,32,11024
White,45,36,1829
White,42,28,6193
White,24,46,3931
White,19,63,16
White,100,12,772
Black,110,31,81
Black,118,29,101
White,38,27,7653
Black,170,9,18
Black,129,37,2
Black,171,51,1
Black,121,2,148
White,87,20,1548
Black,165,2,18
Black,13,30,9199
White,114,7,317
White,97,9,474
White,200,4,2
Black,103,29,217
Black,148,20,58
White,121,13,321
White,92,11,824
Black,57,46,17
White,135,2,62
White,195,18,2
White,103,40,5
Black,179,19,16
Black,49,17,7749
White,67,14,3451
Black,24,42,5078
White,38,44,961
Black,76,34,197
White,137,6,186
White,139,4,114
Black,184,28,8
White,76,14,2362
White,74,57,1
White,58,37,551
Black,97,22,854
White,122,9,158
White,28,32,8540
White,106,16,779
Black,74,36,144
Black,139,1,37
White,101,17,999
White,179,24,9
Black,67,29,1167
White,133,38,2
White,71,2,1083
White,60,45,51
Black,21,59,40
Black,183,23,8
Black,137,2,69
White,170,10,18
White,49,15,6107
Black,36,35,3641
White,137,44,1
Black,93,24,571
Black,127,20,184
Black,177,5,20
White,183,2,6
Black,129,11,199
White,128,31,51
Black,183,31,2
White,100,33,89
Black,80,24,1093
Black,50,38,499
White,63,17,4975
White,145,9,59
Black,111,17,579
White,120,30,115
White,143,1,18
White,111,44,1
Black,17,24,3487
White,39,9,1352
White,140,32,13
White,140,43,2
Black,31,66,1
White,130,12,205
White,10,55,650
White,167,11,18
White,93,45,4
White,137,37,4
White,18,56,450
Black,140,2,60
Black,192,4,11
Black,18,8,155
Black,82,23,1005
White,135,30,48
White,124,17,311
Black,160,33,7
Black,168,34,3
White,65,26,2753
Black,194,17,8
Black,122,13,389
Black,188,27,1
Black,101,44,1
Black,84,8,955
White,29,56,114
White,76,33,417
Black,61,49,9
White,54,19,7076
White,128,7,161
White,81,7,1133
White,53,54,1
White,78,22,2165
Black,36,32,4920
White,24,36,9918
White,87,18,1571
White,29,5,2439
Black,22,27,7573
White,161,18,40
Black,159,35,1
White,58,31,1822
White,191,24,8
Black,60,34,486
White,56,30,2488
Black,19,53,496
White,99,1,125
White,197,1,1
White,33,34,6383
Black,46,24,5755
Black,62,39,138
Black,28,60,17
White,9,36,12570
Black,42,58,7
Black,48,12,4780
Black,45,19,8373
Black,54,2,3008
Black,176,18,14
White,22,5,1421
Black,170,29,2
Black,107,28,199
White,102,27,408
Black,19,26,5877
Black,150,6,92
Black,140,20,89
White,124,30,78
Black,81,22,1679
Black,168,27,13
Black,179,35,1
White,45,29,4849
Black,13,66,1
Black,155,10,47
Black,84,19,2578
White,93,49,1
Black,103,35,26
White,129,41,1
Black,14,6,596
White,43,45,344
White,16,21,631
White,66,36,405
White,34,40,3148
White,18,32,8277
Black,64,43,28
Black,67,3,2703
White,25,32,9090
White,160,39,1
Black,25,32,9266
Black,148,31,11
White,41,3,4023
White,58,4,4227
White,52,46,67
Black,36,29,6229
White,84,1,232
White,49,6,4119
White,13,19,168
Black,115,30,86
White,168,15,45
Black,59,49,10
White,52,51,9
White,107,48,3
Black,68,23,2116
White,10,58,213
Black,12,62,5
White,148,33,6
White,108,21,440
Black,183,30,1
Black,43,33,2385
Black,74,7,1710
White,171,21,22
White,27,29,8449
White,66,8,1611
Black,20,56,156
Black,108,22,499
Black,125,15,313
White,154,30,19
White,20,54,714
White,152,25,28
Black,139,10,84
Black,42,49,92
White,144,43,2
White,122,32,41
Black,123,22,234
White,137,10,74
Black,129,5,229
White,21,46,5201
Black,21,28,8077
Black,10,52,603
Black,121,24,152
Black,144,26,58
White,18,4,1397
White,156,5,52
White,118,34,23
Black,31,18,5433
Black,146,5,107
White,157,24,29
White,26,1,990
White,73,25,1816
White,61,15,4708
Black,24,56,101
White,119,26,203
White,87,4,1323
Black,135,29,46
Black,110,13,596
Black,96,26,458
Black,71,8,1613
Black,120,21,228
White,19,43,8873
White,78,6,2238
Black,192,12,11
Black,23,52,530
Black,112,4,503
Black,39,59,3
Black,89,14,1493
White,116,1,65
Black,178,14,32
White,10,27,2230
Black,142,7,87
White,65,54,1
White,135,12,181
White,101,24,460
White,22,47,3817
Black,144,29,27
White,109,41,11
Black,29,23,7415
White,46,61,2
White,15,60,91
Black,160,6,47
Black,165,7,29
White,14,43,10737
Black,32,33,6088
White,133,21,131
Black,158,17,51
Black,9,61,12
White,93,11,798
White,50,1,824
White,62,56,1
White,62,26,3200
White,12,25,1285
White,87,10,735
White,30,50,694
Black,180,16,27
Black,48,51,9
White,132,19,333
Black,153,23,36
Black,156,37,1
Black,69,12,2899
White,138,19,231
Black,18,56,186
White,107,33,77
White,106,31,127
White,65,1,441
Black,83,41,20
Black,58,41,124
Black,47,37,815
Black,92,31,219
White,108,14,662
Black,141,6,137
Black,112,3,343
Black,180,26,8
Black,179,17,20
White,34,46,1076
Black,52,27,3368
White,47,3,3933
White,14,54,1025
Black,39,47,239
Black,106,21,446
White,44,47,181
White,181,12,19
Black,144,12,139
Black,13,31,10295
Black,122,4,268
White,111,37,13
Black,39,27,6288
Black,98,12,935
White,50,20,7268
Black,102,48,1
Black,19,20,1818
White,156,32,8
White,98,46,3
White,30,48,1199
White,18,17,285
White,80,42,27
White,39,47,400
Black,34,36,3965
Black,24,1,1279
Black,130,17,240
White,95,1,136
White,25,60,47
Black,164,14,49
White,32,29,8193
Black,78,22,1934
White,9,66,3
White,162,28,27
Black,24,51,654
Black,116,25,178
Black,128,39,2
Black,96,10,644
Black,23,30,9295
White,179,5,24
White,84,37,98
Black,67,52,5
White,30,22,6239
Black,171,9,18
Black,66,56,2
White,43,38,1579
Black,38,36,2608
Black,64,34,406
Black,87,30,359
Black,179,1,5
Black,67,23,2136
White,165,10,27
Black,41,58,6
Black,24,2,2756
Black,10,47,2766
Black,76,33,245
White,150,25,50
Black,114,25,202
White,183,1,2
White,63,40,197
Black,124,31,42
White,43,2,2748
Black,154,31,9
White,65,30,1510
White,13,56,521
Black,39,10,2222
Black,107,7,429
White,103,21,556
Black,77,3,1717
Black,40,10,2464
White,78,41,50
Black,53,48,23
White,49,55,4
White,156,15,73
Black,17,36,11755
Black,171,32,2
White,29,47,1775
White,14,59,163
Black,80,13,2147
Black,123,4,301
Black,193,11,10
White,35,17,5218
Black,34,61,3
Black,26,22,5868
White,23,22,3116
Black,186,9,11
Black,29,19,5327
White,108,44,2
Black,98,29,299
Black,165,4,41
White,114,15,520
White,29,61,19
White,130,41,4
Black,52,8,2831
Black,93,19,1955
Black,199,15,7
White,29,19,4017
Black,71,42,34
White,30,39,5479
White,140,12,125
Black,73,36,144
Black,99,45,1
White,175,38,1
White,163,5,32
Black,74,15,3177
Black,112,34,29
Black,100,24,426
White,81,25,1202
Black,30,3,4413
Black,51,31,1787
Black,79,18,2196
White,77,29,1032
White,133,28,64
White,189,5,7
Black,48,16,7475
White,57,40,282
White,26,57,120
Black,50,21,6023
Black,53,18,6796
White,21,43,7813
White,20,46,5537
White,57,45,53
White,25,40,7826
Black,137,25,74
Black,46,38,786
Black,65,6,3823
Black,135,2,67
White,187,26,8
White,166,27,13
White,177,34,1
White,184,1,1
White,70,31,902
Black,122,26,148
White,71,43,42
Black,190,11,7
Black,114,35,8
White,143,37,1
White,184,19,24
Black,12,55,205
